cdid,digitalCommonsURL,digitalCommonsPdfURL,persistentID,circuit,court,state,stateClaim,judge,judgeFullName,judgeFirstName,judgeMiddleName,judgeLastName,judgeSuffix,lawsuitFiledYear,lawsuitFiledDate,cdFiledYear,cdSignedYear,cdFiledDate,caseNumber,versionNumber,caseName,cdSignedDate,effectiveDate,durationNumberOfYears,durationText,plaintiffsAttorneysFees,internComments,cdCreateDate,lastModifiedDate,lastModifiedBy,hidden,hiddenDate
1,http://digitalcommons.ilr.cornell.edu/condec/34/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1025&amp;context=condec,00-680-DRH-1,7th,Southern District,Illinois,False,"Herndon, David R.  ",David R. Herndon,David,R.,Herndon,,2000,2000-08-30 00:00:00,2002,2002,2002-10-04 00:00:00,00-680-DRH,1,"Wilfong, et al. and EEOC v. Rent-A-Center, Inc.",2002-10-07 00:00:00,"The provisions of this Decree and the agreements contained herein shall remain in effect for four (4) years from the Effective Date of this Decree.  ""Effective Date"" means the latest of: (i) if an appeal is filed, (a) the date of final affirmance on an appeal of a judgment approving this Decree, (""Judgment""), the expiration of the time for a petition for or a denial of a writ of certiorari to review a Judgment and, if certiorari is granted, the date of final affirmance of a Judgment following review pursuant to that grant, or (b) the date of final dismissal of any appeal from a Judgment or the final dismissal of any proceeding on certiorari to review a Judgment; or (ii) if no appeal is filed, the expiration date of the time for the filing or noticing of any appeal from a Judgment, e.g., the first court date sixty (60) days after entry of a Judgment.  (Page, 7)",4,Four Years,"Counsel for Wilfong shall submit a fee application to the District Court sufficiently in advance of the Fairness Hearing so that the issue may be addressed at the Fairness Hearing.  The Court shall determine the attorneys' fees, as well as costs and expenses of litigation to be paid to Class Counsel out of the Settlement Fund at the time of final approval of this Decree.  Class Counsel has agreed to seek a fee of no more than $10,500,000.00, and reimbursement of costs and expenses of no more than $775,000.00 out of the Settlement Fund.  Such fees, costs and expenses shall include time to be spent in the future defending the Decree, conferring with Class Members, reviewing the reports of RAC, conferring with the Consultant(s), and monitoring and enforcing the settlement.  Payment of the fees and expenses shall be made by the Settlement Administrator no later than one (1) business day after effective Date of the Consent Decree.  (Page, 58)",,2010-05-21 11:19:16.383000000,2011-06-03 16:44:01.890000000,cgh2,False,
2,http://digitalcommons.ilr.cornell.edu/condec/87/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1086&amp;context=condec,01-CIV-2112-WHP-1,2nd,Southern District,New York,False,,William H. Pauley III,William,H.,Pauley,III,2001,2001-03-13 00:00:00,2003,2003,2003-08-20 00:00:00,01-CIV-2112 (WHP),1,"Mitchell, et al. v. Metropolitan Life Insurance Company, Inc., dba MetLife",2003-08-20 00:00:00,"""Effective Date"" is the date following Final Approval of this Decree on which the later of the following has occurred: (1) the time for appeal from Final Approval of this Decree has run without an appeal being filed; (2) if a timely appeal is filed, the final resolution of that appeal (including any requests for rehearing and/or petitions for a writ of certiorari), and/or the expiration of any time period for any further appeal, resulting in final judicial approval of the Decree; or (3) the date on which no further appeals, requests for rehearing and/or petitions for a writ of certiorari can be filed in connection with the Decree. (Page, 2)

This Decree shall become effective immediately upon the Effective Date, as defined in Section II(I). (Page, 6)",3,"""Term of the Decree"" is the period from the Effective Date until the expiration of the Decree pursuant to Section V(B) on December 31, 2006. (Page, 4)","Class Counsel and MetLife shall bear their own attorney's fees and costs in seeking or opposing modification of the Decree. (Page, 13)

Except as provided for in Section XIII, Class Counsel and MetLife shall bear their own attorney's fees and costs in utilizing the Dispute Resolution Procedures. (Page, 19)

Except as provided in Section XIII, Class Counsel and MetLife shall bear their own attorney's fees and costs with respect to the resolution of any Benchmark disputes. (Page, 35)

A. Plaintiffs will file a motion for an award, not to exceed $3,400,000 (Three Million Four Hundred Thousand Dollars), for payment of the attorneys' fees, costs and litigation-related expenses incurred by all counsel for Plaintiffs and the Settlement Class in this matter. MetLife agrees that it will not oppose the Motion. Of the $3,400,000 (Three Million Four Hundred Thousand Dollars), $3,250,000 (Three Million Two Hundred Fifty Thousand Dollars) represents complete payment for fees, costs and expenses incurred to date and to be incurred through Final Approval of this Decree and final distribution of the Monetary Settlement Fund provided for in this Decree. The remaining $150,000 (One Hundred Fifty Thousand Dollars) represents payment, at the rate of $50,000 (Fifty Thousand Dollars) per year for the three years of this Decree, for Class Counsel's attorneys' fees, costs and expenses for monitoring MetLife's compliance with the Decree. B. MetLife shall pay to Class Counsel the amount awarded by the Court for attorneys' fees, costs and expenses within seven (7) days of the Effective Date, and shall issue a Form (or Forms) 1099 to Class Counsel for such fees, costs and expenses pursuant to the Court's order. C. The Court's award of fees, costs and expenses under this Section is in full and complete satisfaction of all fees, costs and expenses incurred with respect to all claims that were or could have been asserted by the Named Plaintiffs and the Settlement Class in the Mitchell Action including, without limitation (i) all fees, costs and expenses incurred by all Class Counsel and Lieff, Cabraser, Heimann & Bernstein; and (ii) any statutory award of attorneys' fees to Class Counsel or to Lieff, Cabraser, Heimann & Bernstein pursuant to the Civil Rights Act of 1964, 42 U.S.C. �� 2000e, et seq., as amended, 42 U.S.C. � 1981a (""Title VII"") and 42 U.S.C. � 1988. D. Class Counsel represent that (i) up to the date of Preliminary Approval they are not aware of any other attorneys other than themselves and Lieff, Cabraser, Heimann & Bernstein who have represented the Named Plaintiffs or the Settlement Class in connection with the Mitchell Action; and (ii) they will indemnify MetLife in connection with any claims by Lieff, Cabraser, Heimann & Bernstein to recover fees, costs or expenses, including the cost of defending against such claims. (Pages, 65-66)",There is a plaintiff law firm that was disqualified; it is not listed on this data sheet. See p. 5 of decree for details,2010-05-21 11:19:16.573000000,2012-11-14 16:31:47.547000000,lg338,False,
3,http://digitalcommons.ilr.cornell.edu/condec/15/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1015&amp;context=condec,03-C-9110-1,7th,Northern District of Illinois,Illinois,False,"Shadur, Milton",Milton Shadur,Milton,,Shadur,,2003,2003-12-19 00:00:00,2007,2007,2007-07-30 00:00:00,03 C 9110,1,"Smith v. Nike Retail Services, Inc.",2007-10-02 00:00:00,"Effective Date: The Effective Date shall be the date on which the time for filing an appeal from the Court�s Final Approval of this Consent Decree has either expired without an appeal being filed, or if later, after any appeal has been fully resolved upholding the Consent Decree (including requests for rehearing, rehearing en banc, and petitions for certiorari), at which time the Parties become bound to perform the obligations set forth in this Consent Decree, and the terms of this Decree become binding on Nike, NTC, the Settlement Class, and anyone else who has undertaken an obligation under this Decree.  (Page, 12)
",2,Two Years,"Attorneys� Fees And Costs: Class Counsel shall submit a fee application to the Court sufficiently in advance of the Fairness Hearing so that the issue may be addressed at the Fairness Hearing.  Nike agrees not to contest any fee application submitted by Class Counsel up to $2,600,000.  The Court shall determine the attorneys� fees, as well as costs and expenses of Litigation, to be paid to Class Counsel out of the Settlement Fund at the time of final approval of this Consent Decree.  Such fees, costs and expenses shall include time to be spent in the future defending the Consent Decree, conferring with Class Members, reviewing Nike�s reports, conferring with Nike�s counsel, or any other legal work to be performed by Class Counsel related to monitoring, administration, and/or implementation of this Consent Decree.  Release of Any Claims for Attorney's Fees and Costs: Nike shall have no obligation under this Consent Decree to pay any money for attorneys' fees and costs to Class Counsel, except as expressly set forth herein.  Except as otherwise provided herein, Nike shall not be liable for any of the Named Plaintiffs' costs or attorneys' fees, statutory or otherwise, incurred in the Litigation or during the term of the Consent Decree.  Cost of Employment Practices: The costs and expenses of administering the Equitable Relief in Secion IX of the Consent Decree shall be paid by Nike.  Attorneys' Fees and Costs of Enforcing the Consent Decree: In the event that any Party is found by the Court to be in material breach of its obligations under the Consent Decree, the prevailing Party shall be permitted to petition the Court for its reasonable attorneys' fees and costs incurred as a result of any enforcement action required to be taken in order to cure such breach.  (Pages, 31-32)",,2010-05-21 11:19:16.697000000,2011-02-12 12:40:23.023000000,lg338,False,
4,http://digitalcommons.ilr.cornell.edu/condec/24/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1032&amp;context=condec,03-CV-0670A-F-1,2nd,Western District,New York,False,"Arcara, Richard J.",Richard J. Arcara,Richard,J.,Arcara,,2003,2003-09-10 00:00:00,2007,2007,2007-10-29 00:00:00,03 CV 0670A(F),1,EEOC and Tracy Myles v. Concrete Applied Construction Technologies Corp.,2007-10-29 00:00:00,"14. The effective date of this Decree shall be its date of entry as an order of the Court.  (Page, 5)",2,Two Years,"6. In addition to the sums discussed in Paragraph 5, in settlement of this matter, CATCO will also pay the law firm of Bartlo, Hettler & Weiss a total of Fifty Thousand Dollars ($50,000) as attorney�s fees.  (Page, 3)

17. Except as otherwise set forth in this Decree, the Parties agree to bear their own attorneys� fees and costs associated with this case.  (Page, 5)
",,2010-05-21 11:19:16.807000000,2011-05-26 16:52:50.960000000,lg338,False,
5,http://digitalcommons.ilr.cornell.edu/condec/18/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1022&amp;context=condec,03-2817-SI-04-4730-03-2817-SI-04-4731-1,9th,Northern District of California,California,False,"Illston, Susan",Susan Illston,Susan,,Illston,,2003,2003-06-16 00:00:00,2005,2005,2005-04-15 00:00:00,03-2817 SI 04-4730; 03-2817 SI 04-4731,1,"Gonzalez, et al. v. Abercrombie & Fitch Stores, Inc., et al.",2005-04-14 00:00:00,"A. Unless provided otherwise, the equitable provisions in this Decree are effective immediately upon the Approval Date.  (Page, 8)",6,,"9. In the event that any party seeks to utilize the dispute resolution procedure set forth in Section X.B, then each party shall bear its own attorneys' fees, costs and expenses for all work performed through resolution by the Special Master.  In the event that any party seeks to appeal any decision of the Special Master, then the prevailing party in such matter shall be entitled to recover reasonable attorneys' fees, costs and expenses incurred in such appeal from the other party, consistent with applicable standards under Title VII.  Whether and to what extent any party is a prevailing party and awarded fees and expenses shall be determined in the sole and absolute discretion of the Court.  This provision shall not apply to the EEOC, as Abercrombie and the EEOC mutually agree not to seek fees under this Section from each other.  (Page, 19)

XVIII. Attorneys� Fees, Costs, and Expenses 
A. Basis for Award of Fees, Costs and Expenses
1. The parties have agreed that it is appropriate as part of the settlement underlying this Consent Decree for Abercrombie to pay to Class Counsel, on behalf of the Class Representatives and the Settlement Class, reasonable attorneys' fees, litigation expenses, and costs in this case.
2. The Company has agreed to pay Class Counsel an award of reasonable attorneys' fees, litigation expenses, and costs in the amount of $7,250,000.00 for work performed and costs and expenses incurred through and including the Approval Date.  Included in this amount is approximately $540,000.00 for litigation costs and expenses incurred by Class Counsel.  This amount fully satisfies any arguable obligation the Company may have to pay attorneys' fees, litigation expenses, and costs for and on behalf of the Plaintiffs, Class Representatives and the Settlement Class for any and all work performed and costs and expenses incurred through and including the Approval Date.
3. The Company also has agreed to pay Class Counsel an amount of reasonable attorneys' fees, litigation expenses, and costs for work required to be performed by Class Counsel after the Approval Date pursuant to this Decree.  The Company agrees that Class Counsel shall be paid such attorneys' fees, expenses and costs in the amount of $600,000.00 for work performed and costs and expenses incurred after the Approval Date relating to defense of the Decree, monitoring, administration and implementation, including, without limitation, evaluating possible compliance with this Decree, including the retention of experts to assist in such evaluation, and defense of the Decree.  Except as provided in Section X.B.9 for appeals of decisions of the Special Master, this amount satisfies any arguable obligation the Company may have to pay attorneys' fees, expenses and costs to Class Counsel for any and all work performed and costs and expenses incurred after the Approval Date of the Decree for the monitoring, administration, implementation and defense of the Decree.
4. Nothing herein shall be interpreted to preclude Abercrombie from seeking attorneys' fees, expenses and costs incurred in litigating enforcement matters according to Title VII law applicable to a prevailing defendant under Section X.B.9. for appeals of decisions of the Special Master.
B. Payment of Award
1. Within fourteen (14) days following the Approval Date, Abercrombie shall pay to Lieff, Cabraser, Heimann & Bernstein, LLP one half (1/2) of the $7,250,000.00 or $3,625,000.00, for litigation-related attorneys' fees, expenses and costs as set forth in Section XVlII.A.2.  Abercrombie shall pay Lieff, Cabraser, Heimann & Bernstein, LLP the remaining amount within fourteen (14) days following the Final Approval Date.  Lieff, Cabraser, Heimann & Bernstein, LLP shall have sole responsibility to distribute attorneys' fees, expenses and costs to other Class Counsel, and if Abercrombie makes such payments to Lieff, Cabraser, Heimann & Bernstein, LLP, no Class Counsel may assert any claim for such payments from Abercrombie.  In the event that Final Approval of the Decree is not attained, Lieff, Cabraser, Heimann & Bernstein, LLP shall return to Abercrombie the initial payment of $3,625,000.00 within fifteen (15) days after the non-approval of the Decree becomes final.
2. The attorneys' fees, expenses and costs awarded and agreed to be paid by the Company pursuant to Section XVIII.A.3. shall be paid to Lieff, Cabraser, Heimann & Bernstein, LLP according to the following schedule:
Date                                                           Amount 
Thirty (30) days after the Approval Date         $150,000
March 15, 2006                                           $125,000
March 15, 2007                                           $100,000
March 15, 2008                                           $100,000
March 15, 2009                                           $ 75,000
March 15, 2010                                           $ 50,000
If the Decree is terminated prior to March 15, 2011 pursuant to Section VLB., Abercrombie shall pay to Lieff, Cabraser, Heimann & Bernstein, LLP all attorneys' fees listed above that are unpaid as of the date of the Decree is terminated.  Such payment shall be made no later than fourteen (14) days after the date the Decree is terminated.  (Pages, 58-60) 
",,2010-05-21 11:19:16.900000000,2011-01-04 10:05:05.937000000,lg338,False,
6,http://digitalcommons.ilr.cornell.edu/condec/71/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1058&amp;context=condec,03-CV-8821-NRB-FM-1,2nd,Southern District,New York,False,"Buchwald, Naomi Reice",Naomi Reice Buchwald,Naomi,Reice,Buchwald,,2003,2003-11-07 00:00:00,2007,2007,2007-08-07 00:00:00,03-CV-8821 (NRB)(FM),1,EEOC and Rodriguez et al. v. Sephora USA LLC; Rodriguez v. Sephora USA LLC et al.,2007-08-07 00:00:00,,2,Two Years,"9. In settlement of this dispute, Sephora shall pay the total sum of $565,000 to the Claimants, inclusive of attorney's fees paid to counsel for Plaintiffs-Intervenors, allocated as set forth in Exhibit A hereto, which shall be filed under seal.  (Page, 5)

10. In addition to the amount set forth in paragraph 9 above, within ten (10) business days of entry of this Decree, Sephora shall provide a check to each Non-Intervening Claimant in the amount of Seven Hundred Fifty Dollars ($750), to be paid to an attorney of each Non-Claimant�s choice, in order for each Non-Intervening Claimant to receive legal advice about signing a release in the form of Exhibit B attached hereto (English and Spanish-language versions attached).  The EEOC shall then provide to Sephora the releases executed by the Non-Intervening Claimants.  (Page, 5)
12. Other than as reflected in paragraph 10 above, all parties shall bear their own attorney's fees and costs incurred in this action.  (Page, 6)",,2010-05-21 11:19:17.120000000,2012-11-14 10:59:51.967000000,lg338,False,
7,http://digitalcommons.ilr.cornell.edu/condec/42/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1044&amp;context=condec,04-C-2708-1,7th,Eastern District,Illinois,False,"Manning, Blanche",Blanche Manning,Blanche,,Manning,,2004,2004-04-20 00:00:00,2006,2006,2006-04-18 00:00:00,04 C 2708,1,"EEOC v. Bice of Chicago, Inc., et al.",2006-04-18 00:00:00,,2,Two Years,"11. Each party to this action shall bear its own attorney�s fees, costs, and expenses.  (Page, 6)",,2010-05-21 11:19:17.197000000,2016-06-15 16:06:16.870000000,,False,
8,http://digitalcommons.ilr.cornell.edu/condec/41/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1040&amp;context=condec,04-CV-3076-LDW-AKT-1,2nd,Eastern District,New York,False,"Wexler, Leonard D.",Leonard D. Wexler,Leonard,D.,Wexler,,2004,2004-07-21 00:00:00,2006,2006,2006-12-20 00:00:00,04 CV 3076 (LDW) (AKT),1,"EEOC v. Comprehensive Benefits Consultants, Inc.",2006-12-20 00:00:00,"This Decree will remain in effect for three years from the date of entry.  (Page, 7)",3,,"Monetary Relief:  4. Within 10 days after the entry of this Decree, Defendant will pay to Jean Marie Addeo, Laura Hart, Michelle Martone and Francine Angelone a total of $150,000 which reflects back pay, compensatory damages and attorneys' fees.  The total amount will be distributed as set forth in Exhibit A, annexed hereto and filed under seal.  (Page, 3)",,2010-05-21 11:19:17.290000000,2011-01-18 21:57:04.740000000,lg338,False,
9,http://digitalcommons.ilr.cornell.edu/condec/68/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1061&amp;context=condec,04-2730-MA-P-1,6th,"Western District of Tennessee, Western Division",Tennessee,False,"Mays, Jr., Samuel H. ",Samuel H. Mays Jr.,Samuel,H.,Mays,Jr.,2004,2004-09-15 00:00:00,2006,2006,2006-10-03 00:00:00,04-2730 MA P,1,"EEOC v. Cleveland Construction, Inc.",2006-10-02 00:00:00,,1,One Year,"Each party shall bear that party�s own costs, attorneys� fees, and expenses.  (Page, 7)",,2010-05-21 11:19:17.400000000,2011-01-18 15:36:38.777000000,lg338,False,
10,http://digitalcommons.ilr.cornell.edu/condec/63/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1068&amp;context=condec,04-CV-7514-AKH-1,2nd,Southern District,New York,False,"Hellerstein, Alvin K. ",Alvin K. Hellerstein,Alvin,K.,Hellerstein,,2004,2004-09-23 00:00:00,2006,2006,2006-03-20 00:00:00,04-CV-7514 (AKH),1,"EEOC v. Melrose Hotel Company, Inc., MHC Barbizon L.P. and Berwind Property Group, Ltd.",2006-03-20 00:00:00,"The date of entry of the Decree shall be the date it is filed with the Clerk of the Court having been signed by the District Court judge.(Page, 7)",3,Three Years,,,2010-05-21 11:19:17.493000000,2011-01-18 15:19:53.433000000,lg338,False,
